run_dir,spectral_gap,vertex_degree_invariant
APT_PIPELINE_RUNS\20251022_153210,1.0,2.0
APT_PIPELINE_RUNS\20251022_153429,1.0,2.0
APT_PIPELINE_RUNS\20251022_153430,1.0,2.0
APT_PIPELINE_RUNS\20251022_153431,1.0,2.0
APT_PIPELINE_RUNS\20251022_153432,1.0,2.0
APT_PIPELINE_RUNS\20251022_153433,1.0,2.0
APT_PIPELINE_RUNS\20251022_153434,1.0,2.0
APT_PIPELINE_RUNS\20251022_153435,1.0,2.0
APT_PIPELINE_RUNS\20251022_153436,1.0,2.0
APT_PIPELINE_RUNS\20251022_153437,1.0,2.0
APT_PIPELINE_RUNS\20251022_153438,1.0,2.0
APT_PIPELINE_RUNS\20251022_153439,1.0,2.0
APT_PIPELINE_RUNS\20251022_153440,1.0,2.0
APT_PIPELINE_RUNS\20251022_153441,1.0,2.0
APT_PIPELINE_RUNS\20251022_153442,1.0,2.0
APT_PIPELINE_RUNS\20251022_153443,1.0,2.0
APT_PIPELINE_RUNS\20251022_153444,1.0,2.0
APT_PIPELINE_RUNS\20251022_153445,1.0,2.0
APT_PIPELINE_RUNS\20251022_153446,1.0,2.0
APT_PIPELINE_RUNS\20251022_153447,1.0,2.0
APT_PIPELINE_RUNS\20251022_153448,1.0,2.0
APT_PIPELINE_RUNS\20251022_153449,1.0,2.0
APT_PIPELINE_RUNS\20251022_153450,1.0,2.0
APT_PIPELINE_RUNS\20251022_153451,1.0,2.0
APT_PIPELINE_RUNS\20251022_153452,1.0,2.0
APT_PIPELINE_RUNS\20251022_153453,1.0,2.0
APT_PIPELINE_RUNS\20251022_153454,1.0,2.0
APT_PIPELINE_RUNS\20251022_153455,1.0,2.0
APT_PIPELINE_RUNS\20251022_153456,1.0,2.0
APT_PIPELINE_RUNS\20251022_153457,1.0,2.0
APT_PIPELINE_RUNS\20251022_153458,1.0,2.0
APT_PIPELINE_RUNS\20251022_153459,1.0,2.0
APT_PIPELINE_RUNS\20251022_170019,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170020,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170021,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170022,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170023,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170024,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170025,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170026,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170027,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170028,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170029,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170030,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170031,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170032,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170033,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170034,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170035,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170036,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170037,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170038,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170039,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170040,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170041,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170042,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170043,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170044,0.30000000000000004,1.0
APT_PIPELINE_RUNS\20251022_170502,1.6146928034358408,1.0
APT_PIPELINE_RUNS\20251022_170503,3.282734888063663,1.0
APT_PIPELINE_RUNS\20251022_170504,3.759974649445288,1.0
APT_PIPELINE_RUNS\20251022_170505,1.6146928034358408,1.0
APT_PIPELINE_RUNS\20251022_170506,3.282734888063663,1.0
APT_PIPELINE_RUNS\20251022_170507,1.6146928034358408,1.0
APT_PIPELINE_RUNS\20251022_170508,3.282734888063663,1.0
APT_PIPELINE_RUNS\20251022_170509,3.759974649445288,1.0
APT_PIPELINE_RUNS\20251022_170510,1.6146928034358408,1.0
APT_PIPELINE_RUNS\20251022_170511,3.759974649445288,1.0
APT_PIPELINE_RUNS\20251022_170512,1.6146928034358408,1.0
APT_PIPELINE_RUNS\20251022_170513,3.282734888063663,1.0
APT_PIPELINE_RUNS\20251022_170514,1.6146928034358408,1.0
APT_PIPELINE_RUNS\20251022_170515,3.282734888063663,1.0
APT_PIPELINE_RUNS\20251022_170516,3.759974649445288,1.0
APT_PIPELINE_RUNS\20251022_170517,3.282734888063663,1.0
APT_PIPELINE_RUNS\20251022_170518,3.759974649445288,1.0
APT_PIPELINE_RUNS\20251022_170519,1.6146928034358408,1.0
APT_PIPELINE_RUNS\20251022_170520,3.282734888063663,1.0
APT_PIPELINE_RUNS\20251022_170521,1.6146928034358408,1.0
APT_PIPELINE_RUNS\20251022_170522,3.282734888063663,1.0
APT_PIPELINE_RUNS\20251022_170523,3.759974649445288,1.0
APT_PIPELINE_RUNS\20251022_170524,1.6146928034358408,1.0
APT_PIPELINE_RUNS\20251022_170525,3.282734888063663,1.0
APT_PIPELINE_RUNS\20251022_170526,1.6146928034358408,1.0
APT_PIPELINE_RUNS\20251022_170527,3.282734888063663,1.0
APT_PIPELINE_RUNS\20251022_170528,3.759974649445288,1.0
